month,destination_stop,tot
2021-04,312654,62
2021-05,312654,112
2021-06,312654,93
2021-07,312654,66
2021-08,312654,77
2021-09,312654,82
2021-10,312654,77
2021-11,312654,97
2021-12,312654,71
2022-01,312654,28
2022-02,312654,45
2022-03,312654,74
2022-04,312654,67
2022-05,312654,73
2022-06,312654,77
2022-07,312654,59
2016-02,313017,37
2016-03,313017,41
2016-04,313017,31
2016-05,313017,24
2016-06,313017,22
2016-07,313017,22
2016-08,313017,37
2016-09,313017,22
2016-10,313017,33
2016-11,313017,37
2016-12,313017,30
2017-01,313017,36
2017-02,313017,60
2017-03,313017,51
2017-04,313017,39
2017-05,313017,90
2017-06,313017,66
2017-07,313017,76
2017-08,313017,70
2017-09,313017,51
2017-10,313017,86
2017-11,313017,99
2017-12,313017,36
2018-01,313017,47
2018-02,313017,56
2018-03,313017,64
2018-04,313017,34
2018-05,313017,72
2018-06,313017,42
2018-07,313017,41
2018-08,313017,46
2018-09,313017,40
2018-10,313017,38
2018-11,313017,57
2018-12,313017,24
2019-01,313017,30
2019-02,313017,50
2019-03,313017,66
2019-04,313017,41
2019-05,313017,59
2019-06,313017,44
2019-07,313017,39
2019-08,313017,69
2019-09,313017,54
2019-10,313017,75
2019-11,313017,84
2019-12,313017,35
2020-01,313017,25
2020-02,313017,70
2020-03,313017,69
2020-04,313017,7
2020-05,313017,8
2020-06,313017,68
2020-07,313017,63
2020-08,313017,70
2020-09,313017,44
2020-10,313017,58
2020-11,313017,68
2020-12,313017,7
2021-01,313017,11
2021-02,313017,51
2021-03,313017,29
2021-04,313017,19
2021-05,313017,29
2021-06,313017,25
2021-07,313017,22
2021-08,313017,14
2021-09,313017,20
2021-10,313017,21
2021-11,313017,11
2021-12,313017,5
2022-01,313017,8
2022-02,313017,12
2022-03,313017,20
2022-04,313017,7
2022-05,313017,10
2022-06,313017,17
2022-07,313017,15
2016-02,319127,11
2016-03,319127,11
2016-04,319127,19
2016-05,319127,11
2016-06,319127,14
2016-07,319127,7
2016-08,319127,12
2016-09,319127,14
2016-10,319127,22
2016-11,319127,29
2016-12,319127,18
2017-01,319127,14
2017-02,319127,17
2017-03,319127,35
2017-04,319127,13
2017-05,319127,19
2017-06,319127,11
2017-07,319127,18
2017-08,319127,14
2017-09,319127,12
2017-10,319127,6
2017-11,319127,15
2017-12,319127,13
2018-01,319127,21
2018-02,319127,19
2018-03,319127,20
2018-04,319127,6
2018-05,319127,24
2018-06,319127,30
2018-07,319127,30
2018-08,319127,17
2018-09,319127,18
2018-10,319127,24
2018-11,319127,35
2018-12,319127,16
2019-01,319127,19
2019-02,319127,8
2019-03,319127,20
2019-04,319127,12
2019-05,319127,15
2019-06,319127,17
2019-07,319127,12
2019-08,319127,15
2019-09,319127,14
2019-10,319127,9
2019-11,319127,16
2019-12,319127,14
2020-01,319127,16
2020-02,319127,19
2020-03,319127,33
2020-04,319127,11
2020-05,319127,18
2020-06,319127,12
2020-07,319127,6
2020-08,319127,10
2020-09,319127,9
2020-10,319127,13
2020-11,319127,28
2020-12,319127,23
2021-01,319127,20
2021-02,319127,12
2021-03,319127,13
2021-04,319127,17
2021-05,319127,10
2021-06,319127,10
2021-07,319127,9
2021-08,319127,10
2021-09,319127,9
2021-10,319127,15
2021-11,319127,12
2021-12,319127,14
2022-01,319127,14
2022-02,319127,10
2022-03,319127,19
2022-04,319127,22
2022-05,319127,21
2022-06,319127,14
2022-07,319127,14
2016-02,6186,78
2016-03,6186,37
2016-04,6186,53
2016-05,6186,52
2016-06,6186,52
2016-07,6186,40
2016-08,6186,41
2016-09,6186,48
2016-10,6186,46
2016-11,6186,45
2016-12,6186,47
2017-01,6186,36
2017-02,6186,35
2017-03,6186,43
2017-04,6186,43
2017-05,6186,65
2017-06,6186,61
2017-07,6186,58
2017-08,6186,46
2017-09,6186,43
2017-10,6186,57
2017-11,6186,38
2017-12,6186,31
2018-01,6186,23
2018-02,6186,44
2018-03,6186,50
2018-04,6186,42
2018-05,6186,30
2018-06,6186,39
2018-07,6186,37
2018-08,6186,40
2018-09,6186,33
2018-10,6186,49
2018-11,6186,54
2018-12,6186,54
2019-01,6186,30
2019-02,6186,27
2019-03,6186,42
2019-04,6186,27
2019-05,6186,88
2019-06,6186,79
2019-07,6186,52
2019-08,6186,78
2019-09,6186,66
2019-10,6186,81
2019-11,6186,68
2019-12,6186,30
2020-01,6186,29
2020-02,6186,63
2020-03,6186,64
2020-04,6186,18
2020-05,6186,19
2020-06,6186,16
2020-07,6186,17
2020-08,6186,17
2020-09,6186,22
2020-10,6186,36
2020-11,6186,40
2020-12,6186,42
2021-01,6186,38
2021-02,6186,39
2021-03,6186,42
2021-04,6186,23
2021-05,6186,37
2021-06,6186,25
2021-07,6186,18
2021-08,6186,30
2021-09,6186,39
2021-10,6186,37
2021-11,6186,49
2021-12,6186,37
2022-01,6186,27
2022-02,6186,41
2022-03,6186,27
2022-04,6186,36
2022-05,6186,34
2022-06,6186,33
2022-07,6186,34
